GID_0,fueltype,CO2,CH4,N2O,units are tCO2e/ton (and tCO2e/MWh for electricity),,,,,,,
GMB,Electricity,0.660358347,0.020819527,0.001324384,,,,,,,,
GMB,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
GMB,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
GMB,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
GMB,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
GMB,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
GMB,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
GNB,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
GNB,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
GNB,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
GNB,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
GNB,Electricity,0.644996826,0.020819527,0.001324384,,,,,,,,
GNB,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
GNB,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
GNB,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
GNB,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
GNB,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
GNB,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
GNQ,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
GNQ,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
GNQ,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
GNQ,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
GNQ,Electricity,0.403544909,0.000000000,0.000000000,,,,,,,,
GNQ,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
GNQ,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
GNQ,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
GNQ,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
GNQ,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
GNQ,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
GTM,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
GTM,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
