iso3;country;region;area;fuel;year;fuel_tons1;fuel_tons2;fuel_tons3;;Includes corrections of previous error in charcoal demand;;;;;Residential fuel mass in Mton (GWh for elec);;;;;;;;;;;;;;;;Plots for presentation;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2033;21578;21578;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2034;23464;23464;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2035;25449;25449;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2036;27533;27533;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2037;29718;29718;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2038;32009;32009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2039;34407;34407;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2040;36915;36915;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2041;39536;39536;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2042;42273;42273;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2043;45127;45127;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2044;48102;48102;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2045;51199;51199;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2046;54421;54421;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2047;57769;57769;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2048;61247;61247;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2049;64856;64856;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2050;68596;68596;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;gas;2010;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;gas;2011;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;gas;2012;112;112;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;gas;2013;262;262;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;gas;2014;425;425;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
