Key*,LULC,rmax,rmaxSD,K,KSD,TOF
337,LATAM_Temperate mountain system_Mixed Forests,0.03,0,256,14,0
338,LATAM_Temperate mountain system_Closed Shrublands,0,0,130,50,1
339,LATAM_Temperate mountain system_Open Shrublands,0.07,0,116,35,0
340,LATAM_Temperate mountain system_Woody Savannas,0.04,0,200,19,0
341,LATAM_Temperate mountain system_Savannas,0.04,0,200,26,0
342,LATAM_Temperate mountain system_Grasslands,0.05,0,183,26,0
343,LATAM_Temperate mountain system_Permanent Wetlands,0.04,0,203,23,0
344,LATAM_Temperate mountain system_Croplands,0,0,1,1,1
345,LATAM_Temperate mountain system_Urban and Built-up Lands,0,0,111,58,1
346,LATAM_Temperate mountain system_Permanent Snow and Ice,0,0,16,20,1
347,LATAM_Temperate mountain system_Barren,0,0,18,29,1
348,LATAM_Temperate mountain system_Water Bodies,0,0,64,58,1
349,LATAM_Water_Evergreen Needleleaf Forests,0,0,1,1,1
350,LATAM_Water_Evergreen Broadleaf Forests,0,0,92,39,1
351,LATAM_Water_Deciduous Broadleaf Forests,0,0,72,40,1
352,LATAM_Water_Woody Savannas,0,0,57,31,1
353,LATAM_Water_Savannas,0,0,45,32,1
354,LATAM_Water_Grasslands,0,0,31,29,1
355,LATAM_Water_Permanent Wetlands,0,0,39,33,1
356,LATAM_Water_Croplands,0,0,11,9,1
357,LATAM_Water_Urban and Built-up Lands,0,0,13,18,1
358,LATAM_Water_Cropland/Natural Vegetation Mosaics,0,0,28,12,1
359,LATAM_Water_Water Bodies,0,0,26,27,1
360,ASIA_Tropical rainforest_Evergreen Needleleaf Forests,0.06,0.07,214,14,0
361,ASIA_Tropical rainforest_Evergreen Broadleaf Forests,0.04,0.05,330,25,0
362,ASIA_Tropical rainforest_Deciduous Needleleaf Forests,0,0,73,1,1
363,ASIA_Tropical rainforest_Deciduous Broadleaf Forests,0.08,0.09,167,23,0
364,ASIA_Tropical rainforest_Mixed Forests,0.07,0.08,192,18,0
365,ASIA_Tropical rainforest_Closed Shrublands,0.06,0.07,228,21,0
366,ASIA_Tropical rainforest_Open Shrublands,0,0,13,35,1
367,ASIA_Tropical rainforest_Woody Savannas,0.06,0.07,234,29,0
368,ASIA_Tropical rainforest_Savannas,0.09,0.1,159,34,0
