Key*,LULC,rmax,rmaxSD,K,KSD,TOF
402,ASIA_Tropical moist forest_Closed forest evergreen needle leaf,0.04,0.01,219,18,0
403,ASIA_Tropical moist forest_Closed forest evergreen broad leaf,0.05,0.02,198,19,0
404,ASIA_Tropical moist forest_Closed forest deciduous broad leaf,0.06,0.02,171,21,0
405,ASIA_Tropical moist forest_Closed forest mixed,0,0,134,52,1
406,ASIA_Tropical moist forest_Closed forest undefined,0.05,0.02,184,29,0
407,ASIA_Tropical moist forest_Open forest evergreen needle leaf,0.06,0.02,168,10,0
408,ASIA_Tropical moist forest_Open forest evergreen broad leaf,0.08,0.03,118,20,0
409,ASIA_Tropical moist forest_Open forest deciduous broad leaf,0.11,0.04,89,14,0
410,ASIA_Tropical moist forest_Open forest undefined,0.07,0.02,135,28,0
411,ASIA_Tropical moist forest_Oceans seas,0,0,31,37,1
412,ASIA_Tropical dry forest_Shrubs,0.52,0.47,30,15,0
413,ASIA_Tropical dry forest_Herbaceous vegetation,0,0,5,8,1
414,ASIA_Tropical dry forest_Agriculture,0,0,9,14,1
415,ASIA_Tropical dry forest_Urban built up,0,0,10,11,1
416,ASIA_Tropical dry forest_Bare sparse vegetation,0,0,4,7,1
417,ASIA_Tropical dry forest_Permanent water bodies,0,0,14,21,1
418,ASIA_Tropical dry forest_Herbaceous wetland,0,0,17,22,1
419,ASIA_Tropical dry forest_Closed forest evergreen needle leaf,0.12,0.11,126,6,0
420,ASIA_Tropical dry forest_Closed forest evergreen broad leaf,0.08,0.08,184,9,0
421,ASIA_Tropical dry forest_Closed forest deciduous broad leaf,0.13,0.12,116,9,0
422,ASIA_Tropical dry forest_Closed forest undefined,0.1,0.09,162,21,0
423,ASIA_Tropical dry forest_Open forest evergreen needle leaf,0,0,92,4,1
424,ASIA_Tropical dry forest_Open forest evergreen broad leaf,0.12,0.11,131,22,0
425,ASIA_Tropical dry forest_Open forest deciduous broad leaf,0.2,0.18,80,10,0
426,ASIA_Tropical dry forest_Open forest undefined,0.16,0.14,97,26,0
427,ASIA_Tropical dry forest_Oceans seas,0,0,21,26,1
428,ASIA_Tropical shrubland_Shrubs,1.17,1.05,12,11,0
429,ASIA_Tropical shrubland_Herbaceous vegetation,0,0,3,6,1
430,ASIA_Tropical shrubland_Agriculture,0,0,4,3,1
431,ASIA_Tropical shrubland_Urban built up,0,0,3,4,1
432,ASIA_Tropical shrubland_Bare sparse vegetation,0,0,2,3,1
433,ASIA_Tropical shrubland_Permanent water bodies,0,0,4,10,1
434,ASIA_Tropical shrubland_Herbaceous wetland,0,0,5,6,1
435,ASIA_Tropical shrubland_Closed forest evergreen needle leaf,0.08,0.07,171,19,0
436,ASIA_Tropical shrubland_Closed forest evergreen broad leaf,0.08,0.07,181,14,0
437,ASIA_Tropical shrubland_Closed forest deciduous broad leaf,0.15,0.14,91,9,0
438,ASIA_Tropical shrubland_Closed forest undefined,0.14,0.13,97,15,0
